Sum,C,D,E,F,G,J,N,O,P,Q,R,S,T,fraud
799.66,-1.230005188,1.235411994,0.843944478,4.669880421,0.002709773,-0.676336729,-0.428424153,-1.656267647,-0.418430469,0.026216882,-0.284289729,0.654067732,1.546146085,0
504.01,-0.944259691,-0.426748189,-0.833306082,0.090963039,0.257691649,0.584353386,0.407617758,-0.51394219,-1.15976946,-0.30373252,1.664677547,0.112737706,0.51315879,0
15.0,-1.616743234,-3.508833495,1.684425552,2.681155827,-0.653651697,1.042507175,0.278869351,-0.410665001,-0.170468058,-0.009526249,0.327835245,-0.458612508,-0.261680359,0
63.0,-0.75904446,1.5395522,-0.233643058,-0.47803003,-0.274441412,-0.368099673,-1.108734723,0.652814954,0.62352436,0.489565092,0.208053791,-0.812711211,-0.118890785,0
1.99,-2.151835754,1.157186125,1.79639313,-0.243621057,0.608591435,-1.441596218,-3.354077517,0.656262067,1.308201263,2.206550011,1.749971929,-0.398514991,0.027217493,0
40.78,1.375142132,-1.368470819,0.680924367,1.36736558,0.216505688,-0.724119872,-0.906049166,-1.44534626,0.334519845,-0.910238227,-0.031507833,0.419174619,0.100558052,0
120.0,-0.426090477,0.671614595,-1.011403637,-0.735715813,-0.501283898,0.091234233,0.25329121,1.022817106,0.593741847,-0.587276892,0.324206418,-0.501702377,-0.063240256,0
27.52,1.865484836,-0.022259631,0.164636882,-0.855307241,0.964352021,-0.344190186,0.011783325,0.882927242,0.105786079,-0.480651472,-0.331251779,0.086987001,0.114633777,0
11.5,-0.455656944,0.191677446,-0.108315948,1.384445559,-1.032743589,-0.107178132,0.292367455,0.734953838,-0.533022079,0.101096117,-0.52280094,-0.978017821,-0.371198969,0
0.89,0.5788724,0.508671555,-0.391896943,-0.330412879,-0.159434811,0.07809239,0.604629279,0.639051843,0.177385608,-0.284370959,-0.483516563,-0.260042022,-0.163717749,0
1.98,-1.067897046,0.37945855,0.04232787,-1.056547717,0.260523539,0.025139127,0.00800774,-0.055677749,-0.206592218,-0.334506807,-1.101308715,0.091606758,-0.141451585,0
3.05,-3.088227968,1.688673568,-0.04701571,-2.062584355,-0.115605712,-1.252818427,-2.781759195,0.961489735,1.148244557,3.293204732,1.55891777,-0.486784981,0.039784576,0
49.0,-1.279553146,-1.934043702,3.829803441,3.153298653,1.394638046,-1.075706707,1.941726945,-1.185988376,-0.892684913,0.160652361,-0.337103271,-0.791705767,-0.13979161,0
162.66,0.03206728,1.212081783,-0.166380509,-1.015409705,0.724986737,-0.114925388,0.334453377,0.67385051,-0.040255984,-0.411192474,-0.78732185,-0.151390616,0.244104859,0
28.86119405,-2.448269447,3.411876363,2.087852367,-3.649996912,-5.367470759,-3.737277997,-6.089083933,-0.889480468,-3.080712332,-6.455561901,-1.823931626,-0.036671722,1.757123669,1
26.62,-0.384625144,-0.638390904,-1.127958247,-0.140846266,-1.422708186,0.370747766,1.057439982,-0.446927908,1.290450743,0.8769676,-0.415639638,0.287267883,-0.108099632,0
6.7,-1.79020538,0.607337571,0.234312498,-0.672042725,-0.086555474,-0.484988413,-1.33904798,-0.956502951,0.388615921,0.978755326,0.79761207,0.224341806,-0.221819813,0
3.59,-0.034630915,-1.211156701,2.454218847,3.368267883,0.123139842,-0.251199532,0.290875674,1.040817143,0.52730725,-0.891278434,0.098422227,0.386684954,0.220692147,0
0.0,-1.984933244,1.907173222,1.54670808,-0.667620514,0.568491826,-0.993253769,-3.898306758,0.046142526,2.294504906,2.256773695,2.045643226,-0.540593175,0.088935536,0
184.01,1.133280483,-0.56477003,0.129440774,1.461137414,0.600368532,1.996791363,0.590400492,1.109349639,0.827857777,0.601515625,0.241288571,2.666255348,0.011010202,0
20.94,-0.100443968,0.144307318,0.403861645,-0.93391598,1.103899475,1.237624315,0.305501285,1.274235531,-3.045820595,0.729280805,1.067339673,2.008765253,-0.025845508,0
1.710328069,-6.770050221,7.05559553,-1.300675125,-1.635278474,-5.276592406,-6.776291508,-11.51674713,-3.431684833,-6.098481255,-10.22459886,-3.200090014,-0.077813839,0.632730817,1
7.6,-2.490335452,-0.31210432,1.045496761,-0.645536324,0.605366115,0.186940908,1.052349776,-0.142077465,-0.271592765,-0.678917797,0.15761101,0.578846828,-0.208986902,0
3.78,-1.186304633,-1.282809571,0.699254824,-1.507110151,1.365658953,0.626200445,1.037993179,-0.689531188,-0.529825409,-0.463536329,0.086198651,-0.034957676,0.20020561,0
73.8,-0.031421718,0.065089645,-0.854850187,0.223904439,-0.985646868,-0.438434498,-0.590063367,1.150015458,0.474364222,-0.904237546,0.672055295,-0.229614121,0.022672064,0
1.0,0.808120058,0.17378903,-0.243958629,-0.114857156,-0.011623597,-0.475685591,0.074242666,-1.474625666,-0.071023487,-0.181372114,0.181030265,0.671761964,-0.194241344,0
89.60662384,-5.36965371,3.266618161,-0.870777075,-2.448713313,-2.114165177,-5.838533428,-8.55102768,1.703179308,-4.77136848,-4.468252411,-1.446391437,2.835031355,1.020366794,1
22.72,1.723059769,3.168681591,0.090290676,0.411743718,0.293192298,0.937868634,-0.13501314,-0.679451791,1.003241457,-0.796552518,0.450114084,-1.41498242,-0.261465877,0
1.0,-8.879164779,7.484243661,-0.38321351,-2.905746622,-4.765421565,-9.599979631,-14.71599194,-1.040209915,-5.844333479,-8.023018827,-2.506063582,-1.173806219,0.961533617,1
196.14,-5.33001378,0.831144786,1.962361549,-0.35428451,1.212361816,2.211601372,-3.577252281,1.445228553,-0.01692139,2.397606661,0.284443839,-0.3342207,-2.12358444,0
52.4101196,-0.732879236,0.811867525,-0.627697708,-0.063973767,-1.770594565,-1.604302408,-1.96555678,0.861191523,-0.745644976,-1.747239769,-0.286389647,1.752194349,0.63809464,1
5.2,-0.555556393,-1.442979563,-1.650629286,-0.943247883,-1.287719008,1.574794248,-0.445500554,-0.019290366,-0.423304353,0.476108542,0.063589962,-0.217386447,-0.492706479,0
67.66935543,-4.649009838,2.449280007,-0.991060889,-1.46599061,-2.120078858,-3.658414241,-5.989177966,0.907536603,-2.471734306,-0.994657359,-0.065320677,1.37041801,-0.211178711,1
4.99,1.323900012,0.32460104,0.666128568,-0.106832556,0.880383796,-0.015174613,0.314705638,0.170305953,-0.261039011,-0.527984326,0.048287588,-0.300506612,-0.043078795,0
1.0,-8.706608147,7.729917957,-1.387188096,-2.138463535,-4.086148457,-2.267071701,-13.31701981,1.192017237,-4.219464523,-5.544359586,-1.222546204,1.057179596,-0.17784671,1
3.76,0.132131197,-1.609304746,-0.905788772,-0.815480051,-0.138058568,1.327125126,-0.158095608,0.83233074,0.359032351,-0.250045288,-0.892895781,-1.332896898,0.706689404,0
41.02,0.359124202,0.68558447,-0.463294755,-0.21129996,-0.157732231,-0.009158125,0.325340509,-0.767059688,0.063481998,-0.276583424,0.025199394,0.627879238,-0.096161309,0
9.95,-1.212574497,-0.998412468,-0.427086708,-0.702022003,-0.448134447,0.925641618,0.048007404,-0.884672675,0.978432503,0.029534759,-1.401124238,1.177560485,-0.031409674,0
8.99,0.951343306,-0.13917425,0.491029075,-0.474609011,0.76925214,-0.539056416,-0.638079288,0.867884647,0.590995888,-0.342721837,0.039365904,0.218368966,0.204456588,0
0.0,-1.556215208,0.379104643,0.093688649,-1.160579771,0.334623499,0.310687336,0.814585357,-1.0443844,-0.353677371,-0.229864242,-0.260379139,0.461107912,-0.305677138,0
9.99,-0.184673713,0.434951863,-0.834418037,-0.27505242,-0.755373169,0.013040059,0.132807258,-0.117484426,0.214826473,-0.625357468,0.650539229,-0.044052128,-0.259416598,0
2.48,1.089857896,-1.144886293,0.45475375,-0.351341429,0.443075883,-0.802790251,0.605664382,-0.171271217,0.697460354,-0.704299277,-0.160833485,0.250641933,0.099683693,0
0.99,-1.505379587,0.174548859,0.336719128,-0.626469336,0.141104097,0.084001147,0.272548922,0.148809763,0.211900681,-0.648839388,-0.493888371,0.540174864,-0.211575311,0
22.99,-1.650172755,0.373480619,0.263994788,-0.681836934,0.040959445,-0.187516802,-0.415251519,-0.386898705,0.512036651,0.353639594,0.264396817,0.272362528,-0.177425712,0
